DateTime;AirTemperature;ComfortTemperature;RelativeHumidity;WindSpeed;WindDirection;WWCode;EffectiveCloudCover,,,,,
01Jan2019 0:00:00;-1,70;-6,10;75,30;3,60;60;10;6,30
01Jan2019 1:00:00;-1,80;-5,30;75,30;2,60;70;10;4,50
01Jan2019 2:00:00;-2,00;-6,00;74,70;3,10;80;10;5,50
01Jan2019 3:00:00;-1,90;-5,90;76,40;3,10;60;10;7,60
01Jan2019 4:00:00;-2,00;-7,10;76,40;4,60;60;10;6,50
01Jan2019 5:00:00;-2,10;-6,60;75,20;3,60;60;10;5,50
01Jan2019 6:00:00;-2,20;-6,20;76,40;3,10;60;10;6,30
01Jan2019 7:00:00;-2,50;-8,50;79,30;5,70;50;10;3,50
01Jan2019 8:00:00;-2,50;-8,70;78,10;6,20;50;10;4,50
01Jan2019 9:00:00;-2,70;-6,80;77,40;3,10;40;10;3,10
01Jan2019 10:00:00;-1,70;-6,50;75,30;4,10;60;;2,50
01Jan2019 11:00:00;-1,00;-6,80;72,60;6,20;50;;2,50
01Jan2019 12:00:00;-0,70;-5,20;72,70;4,10;50;;1,20
01Jan2019 13:00:00;0,50;-4,00;68,70;4,60;40;;2,50
01Jan2019 14:00:00;0,50;-3,70;68,70;4,10;50;;2,50
01Jan2019 15:00:00;-0,10;-5,40;69,60;5,70;40;;2,60
01Jan2019 16:00:00;-0,40;-5,80;71,60;5,70;30;;4,0
01Jan2019 17:00:00;-0,60;-6,10;73,30;5,70;30;;4,0
01Jan2019 18:00:00;-0,90;-5,80;74,30;4,60;40;;3,50
01Jan2019 19:00:00;-0,80;-5,30;74,30;4,10;40;;4,0
01Jan2019 20:00:00;-0,90;-5,80;74,30;4,60;30;;4,0
01Jan2019 21:00:00;-1,10;-5,70;75,40;4,10;30;;3,50
01Jan2019 22:00:00;-1,00;-5,60;74,30;4,10;40;;6,0
01Jan2019 23:00:00;-1,00;-5,60;76,60;4,10;40;;6,0
02Jan2019 0:00:00;-1,10;-4,50;78,30;2,60;60;;6,30
02Jan2019 1:00:00;-1,20;-5,50;79,50;3,60;60;;4,50
02Jan2019 2:00:00;-1,30;-5,10;81,30;3,10;50;73;4,50
02Jan2019 3:00:00;-0,60;-3,90;78,40;2,60;50;70;7,70
02Jan2019 4:00:00;-0,80;-4,50;83,20;3,10;60;70;6,50
02Jan2019 5:00:00;-1,40;-5,30;88,90;3,10;70;71;7,0
02Jan2019 6:00:00;-1,50;-4,90;92,90;2,60;60;71;7,80
02Jan2019 7:00:00;-1,10;-5,30;94,30;3,60;40;71;7,0
02Jan2019 8:00:00;-1,20;-5,00;92,90;3,10;50;22;6,50
02Jan2019 9:00:00;-0,70;-4,40;92,30;3,10;50;2;7,60
02Jan2019 10:00:00;0,00;-4,00;86,40;3,60;30;70;6,50
02Jan2019 11:00:00;0,00;-4,00;85,10;3,60;20;70;6,50
02Jan2019 12:00:00;0,90;-3,20;83,40;4,10;40;22;7,30
02Jan2019 13:00:00;1,60;-2,30;82,30;4,10;50;10;6,50
02Jan2019 14:00:00;2,10;-1,40;82,30;3,60;50;23;6,50
02Jan2019 15:00:00;1,90;-1,20;83,50;3,10;50;2;7,60
02Jan2019 16:00:00;2,40;2,20;84,20;1,50;40;23;6,50
02Jan2019 17:00:00;2,50;2,30;84,80;1,50;50;60;6,50
02Jan2019 18:00:00;2,00;1,90;87,20;1,50;30;21;7,60
02Jan2019 19:00:00;2,40;0,20;86,60;2,10;360;;6,50
